Date,windspeed,ratedpoweroutput,SCORE,CorrectedScore
2006-07-02 12:00:00,2.560, 0.000, 0.000,0.000
2006-07-02 12:10:00,2.230, 0.000, 0.000,0.000
2006-07-02 12:20:00,1.990, 0.000, 0.000,0.000
2006-07-02 12:30:00,1.970, 0.000, 0.000,0.000
2006-07-02 12:40:00,2.100, 0.000, 0.000,0.000
2006-07-02 12:50:00,2.300, 0.000, 0.000,0.000
2006-07-02 13:00:00,2.370, 0.000, 0.000,0.000
2006-07-02 13:10:00,2.430, 0.000, 0.000,0.000
2006-07-02 13:20:00,2.210, 0.000, 0.000,0.000
2006-07-02 13:30:00,2.090, 0.000, 0.000,0.000
2006-07-02 13:40:00,2.240, 0.000, 0.000,0.000
2006-07-02 13:50:00,2.250, 0.000, 0.000,0.000
2006-07-02 14:00:00,2.070, 0.000, 0.000,0.000
2006-07-02 14:10:00,2.000, 0.000, 0.000,0.000
2006-07-02 14:20:00,1.930, 0.000, 0.000,0.000
2006-07-02 14:30:00,1.780, 0.000, 0.000,0.000
2006-07-02 14:40:00,1.540, 0.000, 0.000,0.000
2006-07-02 14:50:00,1.530, 0.000, 0.000,0.000
2006-07-02 15:00:00,1.770, 0.000, 0.000,0.000
2006-07-02 15:10:00,2.050, 0.000, 0.000,0.000
2006-07-02 15:20:00,2.240, 0.000, 0.000,0.000
2006-07-02 15:30:00,2.480, 0.000, 0.000,0.000
2006-07-02 15:40:00,2.680, 0.000, 0.000,0.000
2006-07-02 15:50:00,3.020, 0.000, 0.000,0.000
2006-07-02 16:00:00,3.440, 0.090, 0.000,0.000
2006-07-02 16:10:00,3.690, 0.264, 0.000,0.000
2006-07-02 16:20:00,3.780, 0.324, 0.309,0.309
2006-07-02 16:30:00,3.650, 0.234, 0.002,0.002
2006-07-02 16:40:00,3.500, 0.129, 0.000,0.000
2006-07-02 16:50:00,3.530, 0.150, 0.230,0.230
2006-07-02 17:00:00,3.580, 0.186, 0.000,0.000
2006-07-02 17:10:00,3.550, 0.168, 0.041,0.041
2006-07-02 17:20:00,3.650, 0.234, 0.000,0.000
2006-07-02 17:30:00,3.670, 0.249, 0.630,0.630
2006-07-02 17:40:00,3.630, 0.219, 0.728,0.728
2006-07-02 17:50:00,3.560, 0.171, 0.941,0.941
2006-07-02 18:00:00,3.480, 0.114, 0.286,0.286
2006-07-02 18:10:00,3.590, 0.192, 0.000,0.000
2006-07-02 18:20:00,3.870, 0.387, 0.000,0.000
2006-07-02 18:30:00,4.030, 0.498, 0.000,0.000
2006-07-02 18:40:00,4.040, 0.501, 0.000,0.000
2006-07-02 18:50:00,4.010, 0.486, 0.000,0.000
2006-07-02 19:00:00,4.040, 0.501, 1.836,1.836
2006-07-02 19:10:00,4.140, 0.573, 0.740,0.740
2006-07-02 19:20:00,4.260, 0.657, 0.837,0.837
2006-07-02 19:30:00,4.240, 0.642, 0.931,0.931
2006-07-02 19:40:00,3.950, 0.441, 0.062,0.062
2006-07-02 19:50:00,3.860, 0.378, 0.205,0.205
2006-07-02 20:00:00,4.350, 0.717, 0.563,0.563
2006-07-02 20:10:00,4.700, 1.047, 1.072,1.072
2006-07-02 20:20:00,4.280, 0.669, 0.000,0.000
2006-07-02 20:30:00,3.980, 0.456, 0.336,0.336
